Date,Tweets
2019-02-06 15:46:32,It's long but I won't apologize for it! :-) Blame the @ReadersFavorite #reviewer. :-) I actually thank Lesley Jones: love her review &amp; considering this #book on #introverts 'a must for any #school #library' ... for #extroverts as well! #Amazon #AppleBooks #Kobo #Indigo #Nook https://t.co/VGlRjJpN3r
2019-02-06 15:48:04,"@IndiGo6E has won the bid to operate on Nashik-Bangalore, Nashik-Bhopal and Nashik-Hindan routes under the second phase of RCS. #IndiGo #NashikAirport #OzarAirport #Maharashtra"
2019-02-06 15:54:11,"Last Saturday we had our first call into Malaga. This makes her, besides Barcelona, Setubal and Santander the fourth Iberia portcall into our West Med trade with direct weekly connection to the UK! #Malaga #EML #Iberia https://t.co/7JWQYOfrbe"
2019-02-06 15:57:12,"My traveling partner from #Delhi to #Kolkata and return, amazing food and service @airvistara made my trip memorable #EpicTruth #ChefTraveller #KolkataDiaries #Vistara https://t.co/6r3T6JsmDS"
2019-02-06 16:00:38,@jetairways PNR KUVCJL and NAONQB for flight 9W394 10Feb19 from DEL to ATQ is cancelled due to operational reasons. Last moment cancellation by jet airways. Please tell how to travel now ? Kindly arrange in alternate flight for the same. #jetairways #flightcancelled
2019-02-06 16:07:04,"Visit us at @indigolasolas and try one of our delicious Brunch Specials- Roast Beef Sliders made with au jus, horseradish cream, provolone cheese, served with a side of hand-cut fries ✨ Tonight enjoy live Blues music on the Boulevard from 6:30PM-9:30PM! #indigo #rrc https://t.co/XQzCmqSws2"
2019-02-06 16:07:07,Mumbai from the sky!   #Mumbai #goair https://t.co/BXht7LkFmX
2019-02-06 16:09:24,Gayi bhains paani mein🐃 #airindia #bhains Air India Chief Pradeep Singh Kharola Appointed Civil Aviation Secretary:  https://t.co/1COZmLJwPU
2019-02-06 16:20:08,"06 Feb: Afternoon temps #UK &amp; #Iberia @ 15utc - current hotspots #Xàtiva 24.5C and, for the UK, a number of places have reached 11C, including #Southend, #Heathrow AP &amp; #Bournemouth AP - check out the live #weather in #Gibraltar @ https://t.co/UWUYYNYbsA https://t.co/pzL2GtaNAs"
2019-02-06 16:21:50,@Annevandam @EtihadAirways Shame on you #etihadairways
2019-02-06 16:24:34,@AirAsia above d sky..thanks for the wonderful flight!!! #WINGS #clouds #AirAsia #holiday https://t.co/lONs7ypIxx
2019-02-06 16:28:34,@BurnettKerry @VirginAtlantic You won’t regret it.#bestairline #virginatlantic
2019-02-06 16:35:39,Trip Review Business Class Jet Airways Jaipur to Mumbai #jetairways #businessclass #jaipur #Mumbai #thetrviews #bloggers #youtubers #airlinefood #foodinbusinessclass #domesticsector https://t.co/eBdZsvTUwD https://t.co/Y9A8DmT09K
2019-02-06 16:41:36,@sureshpprabhu @narendramodi Got to pay two times for my flight ...because of cancellation of flight by #jetairways  72 hours prior..what kind of service they are providing ...new airport will not resolve the issue..# these service providers should enhance transparency first #airfare #aviation #Cheater
2019-02-06 16:42:13,📍 🇧🇪 Once Upon A Time In Brussels ❤️ #crewlife #qatarairways #mussel #foodporn #cravings https://t.co/ar4c4cPwIo
2019-02-06 16:49:14,Ridiculous Services From.@jetairways @MoCA_GoI @jayantsinha @sureshpprabhu #jetairways Resolve her issues as fast as possible otherwise we have to go in Consumer Grievances Portal.Behalf of Ishita Srivastava ( PASSENGER) Mob -9784031976 Id-dr.ishitasrivastava3@gmail.com https://t.co/Bhev8SdDeM
2019-02-06 16:55:35,#AirIndia service is the worst. Reached well before departure time Delhi to Mumbai flight. Now they don’t let us fly on a confirmed ticket. Complete unfair practice.
2019-02-06 16:56:51,"""I find suggestion a hell of a lot more provocative than explicit detail."" -Joan Crawford #Rufskin #ruflife #menswear #denim #jeans #indigo #bluejeans #stretchdenim #mensstyle #mensfashion… https://t.co/iEW2cdfLvs"
2019-02-06 16:57:40,#Coimbatore It is 2225 Hrs. 6th February. WoW. As #Indigo flight from #Hyderabad lands smoothly I see another 5 flights standing of which one is #SilkAir flight.
2019-02-06 17:08:06,@flyspicejet has todays route news adding @Boeing #737 800 service from @RGIAHyd Hyderabad to #Jeddah JED from 25 March 2019.  More route news @Airlineroute Pic is @suvarnabhumiair #avgeek #aviation #travel #boeing #spicejet #ksa #avgeeks #aviationaddicted https://t.co/3eStVVRL8F https://t.co/GzQGVCTqnn
2019-02-06 17:15:55,#JetAirways changes penalty framework for cancellation of tickets  @jetairways  https://t.co/hTAr5uY1aY
2019-02-06 17:17:00,#Lufthansa to increase nonstop service to #Germany at #Tampa International Airport @lufthansa @FlyTPA  https://t.co/2ESW6wd8WN
2019-02-06 17:19:07,Being #Himachali travel with.... #indigo       @IndiGo6E https://t.co/dDs0TYqrTC
2019-02-06 17:21:03,Last call for the next round of KOKON Indigo 📣  More info: https://t.co/AQqVVVj2aj  #kokonyarn #kokonindigo #mulesingfreemerino #handdyed #specialedition #blueandwhite #indigo #indigospeckle #indigotiedye #yarn #fjordpullover #knittingyarn #backordernow #yarnshop #Yarnznl https://t.co/HRaKYyhL4B
2019-02-06 17:25:36,@jetairways you cancelled my flight COK-DEL on Feb 13 &amp; provided me with no alternative for reaching my connecting flight to KTM... and have been on hold to customer service for 30mins ... #wtf @jetairways #jetairways @AAI_Official
2019-02-06 17:36:24,#Repost @lovespellsmaster with @repostsaveapp ・・・ #lightworker #divinity #career #clairvoyant #wealth #health #chakra #tarotreadings #intuition #psychic #spiritual #newbeginnings #synchronicity #enlightenment #indigo #wisdom #soulmates #reunite #twin… https://t.co/bajLE1SFfO https://t.co/ZvQ4I0fNRj
2019-02-06 17:37:15,"#jetairways , shameless fellows, not picking calls after cancelling flights , plus no information of Revised Flight Details. Worst airlines."
2019-02-06 17:42:21,Just staring from the landing strip as these amazing metal birds touchdown.. #Airbus #A320 #AirAsia #KUL #KLIA #runway @ KLIA Runway https://t.co/6bf9W77uWz
2019-02-06 17:52:13,Max &amp; Anastasia's Aesthetic boards 💙💜 ---- #aesthetic #aestheticboard #moodboard #indigo #purple #green #blue #alien #ufo #forest #80s #90s #retro #thunder #cool #black #edgy #futuristic #synthwave #artistsontwitter #ghost #sad #rose #neon https://t.co/ixSn1VxywF
2019-02-06 18:00:15,"And I wanna know how come you create a myth that #Indigo = flights on time. My parents flight was 3 hrs late from Delhi to Lucknow. Your ground staff at @DelhiAirport said, it's usual.. Kal bhi late thi.   #Airtravel https://t.co/zYvUlgUdEg"
2019-02-06 18:02:47,"@flyspicejet Excellent staff, food and services on board SG377. #SpiceJet"
2019-02-06 18:04:00,Annie? Never 👀💫 “vetted” Sultana 👅😽💫👑👀 hisses or meows? Iono yet. 😽 swazy like them &gt;pinned tweet&lt; when I grow up. 😉 #Indigo fly butta 🦅 https://t.co/26JFzxgLIx
2019-02-06 18:05:43,@jetairways #jetairways have you cancelled your customer support service also? More than 1 hour of hold time on international call https://t.co/OreTUyAm7a
2019-02-06 18:09:02,Have you picked up @HOLRmagazine yet?  https://t.co/4mPpjmAqIC #oliviapierson #magazine #shoppers #indigo #chapters #magazine https://t.co/UFOzcSuEUq
2019-02-06 18:09:34,@VancityReynolds @AviationGin what better way to start our holiday to New York than watching dead pool 2 and drinking lots of gin on the plane! #Deadpool2 #virginatlantic https://t.co/4IomTZtGE8
2019-02-06 18:13:52,"Flight cancelled an no initimation.  No supply over social media, customer support or elsewhere... Always trusted #jetairways  When did @jetairways stoop so low?  Disappointed."
2019-02-06 18:22:31,@jetairways 1 he 5 mins u said u wud call back ...still waiting ....no wonder u r about to shutdown #jetairways #pathetic
2019-02-06 18:28:52,"#9wupdate #jetairways @jetairways after 1 hour 22 mins of hold time, call disconnected. Is your Customer support in shutdown mode?? Cancelling flights but no information on reschedule or refund. https://t.co/4zUp5gAyPi"
2019-02-06 18:35:54,@flyspicejet worst ever communication and SG 679 flight Mumbai to Chennai is already 1 15 minutes late and no answer from the #spicejet personal. Poor totally a arrogance attitude.#worstservice #worstbehaviour
2019-02-06 18:36:14,EasyJet Cabin Crew Requirements cabincrew #easyjet cabincrewjobs https://t.co/m3tFJKRitK
2019-02-06 18:43:18,"@MickDonner @Futureworldxxl @WirtschaftDE @tbgstephen @crypt_ghost @m_aus_s @Ditschi25 @sabine_m_b @Connybub @kleineclaudia1 @frazionetoskana @lazarus06 @55Uli @66Norweger66 @NordischbyNatur @Lanyihunter1 As #Marx correctly stated: Laws (including #tax-laws) are made for the ruling elite. Thus Top 500 companies get all the benefits, normal tax payers &amp; smaller companies may pick up the bill!  Also contemplate: #AirBerlin was saved to be bought by #Lufthansa. #Germania not!"
2019-02-06 18:46:39,Flight cancelled without any intimation #jetairways. Disappointed @jetairways
2019-02-06 18:47:48,"Ready to load at Terminal 1 Photo: John Kelley Aircraft: Boeing 707-430 Airport: Toronto Pearson Int'l (YYZ/CYYZ) Reg: D-ABOB named ""Hamburg"" Date: Jul.1968 Status: written off at SAH in 9.8.1977 as ""9Q-CRT"" Pearl Air Delivery: Jan.30.1960 - #boeing #lufthansa #SAH #YYZ https://t.co/T7IxfGiEDp"
2019-02-06 18:54:39,#jetairways #moca worst experience ever My flight has been cancelled twice in last 48 hours  On call with helpline number waiting for last one hour and still waiting to get connected... https://t.co/4D4cCC7dgb
2019-02-06 19:00:23,Miami International Airport launches #biometric departure platform that will use #FacialRecognition to eliminate the need for a passport and a boarding pass.  #AirportBiometrics #Lufthansa #CBP @CBP @iflymia #BiometricScreening #AirTravel  https://t.co/Nmr2S3WWIL
2019-02-06 19:01:57,I was at #hello  #mumbai #airindia #cityoflights #wherekifebegins #lifeneversleeps #india #djtravels #djdonabelle #goatocambodia #engines #airplanes #boeing #ilovemachines #greatcrew… https://t.co/7ddVCNDQ0P
2019-02-06 19:22:43,Lookie lookie something interesting this way comes!  #VirginAtlantic very first @Airbus A350-1000! https://t.co/WJslCG89Ax
2019-02-06 19:30:08,#QatarAirways adds 25 aircraft to its fleet in 2018 https://t.co/S1kcY4K5QT
2019-02-06 19:31:15,Winter Forest - #digitalart #watercolor #winter #forest #trees #birds #mountains #landscape #snow #blue #indigo #aqua #mint #pink #coral #abstract #contemporary #green #teal #natureart #season #wanderlust #organicart #colorlove #art 🌲 - https://t.co/SsCc0lIso9 https://t.co/96u9VxJ76H
2019-02-06 19:35:00,Last call for the next round of KOKON Indigo 📣  More info: https://t.co/AQqVVVj2aj  #kokonyarn #kokonindigo #mulesingfreemerino #handdyed #specialedition #blueandwhite #indigo #indigospeckle #indigotiedye #yarn #fjordpullover #knittingyarn #backordernow #yarnshop #Yarnznl https://t.co/hcmf234j0T
2019-02-06 19:35:31,@jetairways guys....do you really care about your passengers.?? #jetairways #sucks https://t.co/extKPy6k7U
2019-02-06 19:38:21,"#IndiGo has gone back to the sale and lease model, at least for now, instead of buying aircraft, as it looks to conserve cash. #FlyingHigh  https://t.co/3lDehAEtTX"
2019-02-06 19:40:14,"We don't normally share promotions like this one, but we have a HUGE #MastersOfFlip fan on staff: Pre-order Kortney &amp; Dave's new book from #Indigo for a chance to #win a free consultation with them! https://t.co/rDIKjpmK4V https://t.co/Qrppise2fl"
2019-02-06 19:40:35,@chartdata @chrisbrown Yes and he's only getting Started.  #Undecided #INDIGO Coming SOON. 👏🏾👏🏾🙌🏾🙌🏾💯
2019-02-06 20:00:02,The #uae is leading from the front in aviation biofuel research.  #etihadairways and #khalifauniversity #sbrc have operated the first ever commercial flight using fuel derived from saltwater-grown plants.  https://t.co/quF03RYPmA #uaeinnovationmonth #sustainability #biofuel #uae https://t.co/fQRfbYIm1V
2019-02-06 20:09:51,@easyjet great work scheduling 4 departures within 45 mins of one another from gate B at Geneva 🤷🏻‍♂️🤦🏻‍♂️ #easyjet #hardscheduling
2019-02-06 20:10:56,Must buy some serum from Diego dalla Palma for my senile skin! Who knew skin could be senile?As advertised in the Iberia inflight magazine #diegodellapalma #iberia #adfail #translationfail https://t.co/QIGaX6VXEX
2019-02-06 20:11:09,@easyjet gate B can’t handle 2 flights let alone 4!!! #easyjet #scheduling101 https://t.co/3povjxUKIU
2019-02-06 20:18:07,"Extortion by #QatarAirways. Arrived at #BarcelonaElPrat, had paid for two tix to Jakarta. They needed to ‘verify’ my credit card. They illegally tried to charge $0.10, which didn’t go thru. Couldn’t contact US bank and had to buy new tix or miss flight. #FireQatarCEOalBaker"
2019-02-06 20:33:54,Exploring the Etihad Dreamliner 787 ✈️ #etihadairways #etihad #flyetihad #cockpit787etihad #cockpit787 #dreamliner #etihaddreamliner #insideacockpit #abudhabi #abudhabiairport @ Abu Dhabi… https://t.co/4d3YhlYUbW
2019-02-06 20:45:44,"Love the hospitality of @IndiGo6E , always my first priority , n I will be going home with thm again ...!!! #indigo #enjoy #the #flight https://t.co/4V59rB3JwK"
2019-02-06 20:52:06,Inside an Etihad Dreamliner 787 ✈️ 🇦🇪 #flyetihad #etihadairways #etihaddreamliner #etihad787 #etihad787dreamliner #exploring787 #abudhabiairport #boeing787 #boeingdreamliner… https://t.co/G7mGKOTCrA
2019-02-06 20:56:47,"Last time when I checked, #Jetairways claimed itself to be a full service airline. However on a red eye flight from Mumbai to Amritsar, the carrier was not carrying a single pillow and blanket. Read about all the financial trouble of #@jetairways and i’m sure it’s even worse."
2019-02-06 20:58:24,If you fly on #VirginAtlantic they offer 25% off discount on airfare for children ages 2 to 11.
2019-02-06 21:00:03,Condition: New Indigo Star Men’s Fashion Crewneck Sweater Pullover with Zipper Detail $39.99 $14.99 -62% OFF! #starman #menfashion #condition #indigo #crewneck #sweater #pullover #zipper #indiedev #gamedev #maternity #headphones  https://t.co/5yCPUtGSKK
2019-02-06 21:05:14,Indigo flight 6E-952 Bengaluru to Pune flight made all the passengers to wait for about half an hour for the luggage at Belt no 4 Pune airport.#IndiGo #indigoairlines Please take it as a feedback and fix the gaps.
2019-02-06 21:13:29,Senior Night Hamden High tazziex3  All Time Points Leader 🏀  • https://t.co/Nrv2TzW6Lx 💻 • #gofollow #gosupport #JordonEdward #lakersnation #indigo #zoned #cali #Lakers #pop #randb… https://t.co/lngO632zQZ
2019-02-06 21:19:52,Ferris you’re my hero (Cameron Frye voice)  • https://t.co/Nrv2TzW6Lx 💻 • #gofollow #gosupport #JordonEdward #lakersnation #indigo #zoned #cali #Lakers #pop #randb #liveinthemoment… https://t.co/cXww53CwHJ
2019-02-06 21:38:24,"#WhyILoveThe747 I luv 747 cause this was the first aircraft I sat in the 1980 #AirIndia BOM to LHR , I was 8 years old &amp; still the #best"
2019-02-06 21:40:31,GM🌅  Pure white plane in blue sky  Simple is the best  Nikon z7+ AF-S NIKKOR 600mm f/4E FL ED VR  Osaka International Airport ITM/RJOO  #japanairlines #jal #flyjal https://t.co/TzAfJgOyEJ
2019-02-06 21:49:03,@flyspicejet Flight No.SG8145 delayed frm hrs n hrs More than 150 passengers are teribly suffering n none is willing to board the flight  cc @sureshpprabhu @jayantsinha  @ielvisgomes @manoharparrikar  #SpiceJet #PMO https://t.co/atXNAmscv8
2019-02-06 21:57:22,"@SouthernerSays @easyJet @MadHattersNYC @Nicolette_O @Fit_life360 @poetixtrip @KaraDiDomizio @sl2016_sl @monstervoyage @MattsRoadTrip @RickGriffin @StevenOnTheMove @markandkylee @Adventuringgal @HHLifestyleTrav Those snacks with that view!! 😍 Okay, I'm impressed! #EasyJet #windowseat #WanderlustWednesday"
2019-02-06 22:09:27,@Qantas cancels 8 A380 super jumbos. @AirbusPRESS #qantas #A380 #Avgeek #planespotters #airlines #aviation #pilotlife #pilots @BoeingAirplanes @BoeingCEO @BoeingCCO https://t.co/OwzwI3ykhi
2019-02-06 22:09:50,@Qantas cancels 8 A380 super jumbos. @AirbusPRESS #qantas #A380 #Avgeek #planespotters #airlines #aviation #pilotlife #pilots @BoeingAirplanes @BoeingCEO @BoeingCCO https://t.co/gONK5ESP7W
2019-02-06 22:11:02,Sir Richard Branson Wears AirAsia Crew Uniform to Honour Bet https://t.co/Ri3P6laMen #virgin #airasia
2019-02-06 22:11:08,Connie at Peru Photo: Mel Lawrence Aircraft: Lockheed L-1049G Super Constellation Airport: Lima - Callao  Jorge Chavez Int'l (LIM/SPIM)  Reg: D-ALIN Date: Mar.1962 Status: On display at museum at Hamburg Airport until May 1980 Delivery: Mar.1955 - #connie #lufthansa #L1049G https://t.co/wgPY7AGa0W
2019-02-06 22:14:20,"@flyspicejet Flight No.SG8145 Goa-Delhi delayed more than 9 Hours All Passengers r waiting at airport 150 passengers are teribly suffering, Stucked at GOA Airport Help..!!  cc @sureshpprabhu @jayantsinha   @manoharparrikar @PMOIndia  #SpiceJet #PMO https://t.co/cNDhVGDjdO"
2019-02-06 22:16:14,EASYJET Flight+Hotel #BankHoliday Deals 2019👉 {https://t.co/U91CH92BFk} 19&amp;22April| 6&amp;27May| 26August|  #easyjet #flight #hotel #london #londonislovinit #BankHolidayWeekend #bankholiday2019 #traveltuesday #beachthursday #england #ireland #scotland #wales https://t.co/RbsOJVNZWp
2019-02-06 22:19:08,@TheSanjivKapoor @airvistara Used to always travel with #Vistara on Bengaluru - Kolkata direct route &amp; loved it but not sure why it was stopped. Pls #startBLRCCUroute again. #VistaraLove  I hv been notifying this to u guys several times but not sure why u r turning a deaf ear to it. #doNotIgnoreBLR_CCUroute
2019-02-06 22:30:00,#AirIndia chief Pradeep Singh Kharola has been appointed #CivilAviation secy as part of a minor top-level bureaucratic reshuffle https://t.co/uAMzbFrm7v
2019-02-06 22:30:59,My story always ends with more coffee...☕😎 #indigo #coffee #starbucks #books #vancouver @ Indigo Langley https://t.co/zOHpkiBEvj
2019-02-06 22:32:26,"@easyJet @lucassinz Dear Ross, I've been through this numerous times on DM's! #easyjet"
2019-02-06 22:33:43,The things you see on planes!  . . . . . .  #randomzoolanderquote #forreal #zoolander #qantas #saywhat #imretired #retiredlife #needabeer #middleseatsucks #goldmemberforwhat #toofunny https://t.co/TEUnDgXvp7
2019-02-06 22:48:47,New Virgin boss says staff culture a key to success. @VirginAustralia #aviation #virginaustralia https://t.co/YJdcukwYAR
2019-02-06 23:01:39,MOVERS &amp; SHAKERS: Former Flight Centre Exec named CEO &amp; MD of Virgin Australia https://t.co/43d4J9uGx5 @VirginAustralia #VirginAustralia #aviationnews #airlinenews https://t.co/dMoShxd5av
2019-02-06 23:07:20,Dreaming of spring skies with these hand-dyed indigo organic cotton scarves.$20  #indigo #blue #tiedye #cotton #bohostyle #bohemian #scarf #madeinstl #hippiestyle #stlouismade #happylittlecraftshow #indiansunshinecrafts #strangefolkfestival https://t.co/ryKD2J2htf https://t.co/QArX2zIICi
2019-02-06 23:08:41,Thankyou @qatarairways  for such an amazing flight experiance today from LHR to LYP. Want to mention Nirasha (cabin crew) on my last leg QR624. She is a true representative of Qatar’s excellence customer service. Being part of OneWorld I feel privileged fly with #QatarAirways
2019-02-06 23:09:52,@Qantas QF499 syd to mel Where is the luggage? We’re all here at the carousel. #waiting #qantas
2019-02-06 23:14:25,Virgin Atlantic Boeing 787 Dreamliner Departing During Sunset (Golden Hour) 😍👌 *Notice the sunset horizon line is clearly seen across the bottom half of the fuselage** ➖➖➖➖➖➖➖➖➖➖➖➖⠀⠀ #avgeek #virginatlantic #Boeing #dreamliner #heathrowairport #yourheathrow https://t.co/ofu7cwl856
2019-02-06 23:15:24,We landed about 45 mins ago. Any chance you’ve offloaded the baggage yet? #qantas #gotluggage? https://t.co/B6gUGR5uzA
2019-02-06 23:17:57,THAT TIME WHEN... Travel Advisors &amp;  their kids travelled to Abu Dhabi https://t.co/uqCk4hweIs #abudhabi #etihadairways #travel #tourism #travelling #middleeast #unitedarabemirates #travelforlife #incentive https://t.co/kHn4qhKTX6
2019-02-06 23:19:59,"With this haul, Im guessing Coach Calhoun is gonna have himself a double tall whole milk tonight @BrentBriggeman #GoAir"
2019-02-06 23:38:26,#jetairways #9w256 #greatservice #feltgood fantastic service with genuine care for a short hop. seat2D 7/2/19
2019-02-06 23:41:11,THAT TIME WHEN... Travel Advisors &amp;  their kids travelled to Abu Dhabi https://t.co/4c37aZdbIS #abudhabi #etihadairways #travel #tourism #travelling #middleeast #unitedarabemirates #travelforlife #incentive https://t.co/abobVOGAzD
2019-02-06 23:47:51,Perks of getting seat near emergency exit.. so much leg room.. #aarootales #spicejet https://t.co/FHTT796v3g
2019-02-07 00:07:57,[#ANZ]#AirNewZealand's Worst safety ad -pulled. What went wrong? - Wild About Travel https://t.co/paFe3PcPv1
2019-02-07 00:32:14,"Askum, budget airlines. Extra legroom seat satu, settle #pobeda ? #easyjet ? #airasia ? https://t.co/43l4e41U7G"
2019-02-07 00:36:51,#Aggression on #travelers since #MUMBAIairport is going maintenance #jetairways is leaving #Passengers behind even we were 20 minutes before departure.. gate was closed ... looking other options to reach for my event Shan - E - Mosq #award
2019-02-07 00:45:09,#AirAsia Mobile App just got better! Download it now! https://t.co/o8Ple2xgvD
2019-02-07 00:47:41,"Woven fabric on a chair I sat on today. #patternsofsf #instapattern #inspo #indigo #textiledesign #designer #instastyle #sfdesign #sanfrandesign @ San Francisco, California https://t.co/MwPkRLb6bA"
2019-02-07 00:52:30,Indigo's best friends are Bobby and Sarah.  Bobby gets his hands on a stop watch. #ShortStory #Ebook #Homeless #Indigo https://t.co/lBIEvMpo9v https://t.co/hcZ9zjcoMN
2019-02-07 00:57:12,"The FBMKLCI Index was relatively unchanged last Monday amid shorter trading hours and HLBANK,NESZ,IHH &amp; HARTA led the gains. Maybank IB predicts several counters to provide opportunities such as #SSTEEL #AIRASIA #GCB #GFB trade safely! #bursamalaysia"
2019-02-07 01:00:04,#Lufthansa launched their  #facial recognition cameras at its boarding gate at  #Miami Airport. The cameras snap a picture of the passengers and match them alongside a database to control whether to approve them for boarding.   Read More: https://t.co/3HyBMZjRzw
